neuron_id,explanation_1,explanation_2
layer_0_neuron_7,"Both sequences are secreted proteins with high gravy scores, indicating strong hydrophobicity.",Neuron layer_0_neuron_7 strongly activates for secreted proteins with high hydrophobicity and diverse structural features.
layer_0_neuron_6,Neuron layer_0_neuron_6 strongly activates for proteins that are multi-pass membrane proteins located in the cell inner membrane.,Neuron layer_0_neuron_6 strongly activates for sequences of multi-pass transmembrane proteins located in the cell inner membrane.
layer_0_neuron_22,Neuron layer_0_neuron_22 strongly activates for secreted peptides with high charge and low hydrophobicity.,Neuron layer_0_neuron_22 strongly activates for secreted proteins with high positive charge and low hydrophobicity.
layer_0_neuron_10,"Both sequences are associated with keratin-associated proteins involved in hair formation, characterized by high cysteine content for disulfide bond cross-linking, contributing to a rigid and resistant hair shaft.",Both sequences represent keratin-associated proteins involved in forming a rigid hair shaft through disulfide bond cross-linking with cysteine-rich hair keratins.
layer_0_neuron_11,"Both sequences are associated with proteins from *Dictyostelium discoideum* and are characterized by a low hydrophobicity, high instability index, and significant presence of unspecified or repetitive sequences, indicating potential involvement in transcription regulation.",Highly disordered proteins with low hydrophobicity and involvement in RNA polymerase II transcription regulation in *Dictyostelium discoideum*.
layer_0_neuron_21,"Multi-pass membrane proteins with high isoelectric points and hydrophobicity, located in cell inner membranes.","Both sequences are associated with multi-pass membrane proteins located in the cell inner membrane, characterized by high isoelectric points and significant hydrophobicity."
layer_0_neuron_16,Neuron layer_0_neuron_16 strongly activates for sequences of membrane proteins involved in transmembrane transport processes.,"Neuron layer_0_neuron_16 strongly activates for sequences associated with membrane proteins involved in transmembrane transport, particularly amino acid and gamma-aminobutyric acid transport, from diverse organisms, including fission yeast and staghorn coral."
layer_0_neuron_31,Both sequences are derived from Dictyostelium discoideum and encode multi-pass membrane proteins associated with phosphate-related functions.,"Neuron layer_0_neuron_31 strongly activates for membrane-associated, multi-pass transmembrane proteins involved in cellular responses and transport processes in *Dictyostelium discoideum*."
layer_0_neuron_29,Neuron layer_0_neuron_29 activates strongly for secreted peptides with anti-inflammatory or ion channel blocking functions.,Secreted peptide toxins with ion channel inhibitory activity.
layer_0_neuron_18,"Neuron layer_0_neuron_18 strongly activates in proteins involved in cell signaling and structural regulation, specifically those participating in histone modification and cytoskeleton dynamics in Dictyostelium discoideum.","Neuron layer_0_neuron_18 strongly activates on proteins involved in cellular processes related to the cytoskeleton, such as histone methylation and kinase activity in Dictyostelium discoideum."
layer_0_neuron_3,"Neuron layer_0_neuron_3 strongly activates for proteins involved in structural formation and mineralization processes, such as otolith formation in zebrafish and hair shaft rigidity in humans.","The neuron strongly activates for proteins involved in structural roles, such as otolith formation in zebrafish and hair shaft formation in humans, both characterized by notable disulfide bonding and specific biological processes."
layer_0_neuron_5,Neuron layer_0_neuron_5 strongly activates for secreted uncharacterized proteins from Dictyostelium discoideum with high instability and turn fractions.,Neuron layer_0_neuron_5 strongly activates for secreted proteins from Dictyostelium discoideum with high turn fractions and instability indices.
layer_0_neuron_25,"Neuron layer_0_neuron_25 strongly activates for proteins involved in cytoskeletal functions and microtubule-associated processes, characterized by high hydrophobicity and distinct subcellular localizations such as cilium axoneme and membrane.","Neuron layer_0_neuron_25 strongly activates for sequences with high hydrophobicity and structural components like sheets, commonly found in cytoskeletal or membrane-associated proteins."
layer_0_neuron_12,Neuron layer_0_neuron_12 is strongly activated by sequences associated with DNA binding and chromosome-related processes in both spermatogenesis and cell division.,"Neuron layer_0_neuron_12 strongly activates for sequences involved in DNA binding and chromosome-related processes such as chromosome condensation, chromosome segregation, and nucleosome assembly."
layer_0_neuron_26,Neuron layer_0_neuron_26 strongly activates for sequences of Period circadian proteins from Drosophila species that regulate circadian rhythms through nuclear localization and interaction with the TIM-PER complex.,Neuron layer_0_neuron_26 activates for sequences associated with Period circadian proteins involved in biological clock functions and rhythmic processes in Drosophila species.
layer_0_neuron_17,"Both sequences are Urease accessory proteins UreE from Brucella species, involved in nickel binding and urease metallocenter assembly, located in the cytoplasm.","Neuron layer_0_neuron_17 strongly activates for sequences involved in urease metallocenter assembly, nickel binding, and protein complex assembly in cytoplasmic Brucella species."
layer_0_neuron_1,"Shared biological features: Both proteins exhibit significant biological activity, with ILME functioning as a pheromone affecting genital tract muscle activity and EBNA-LP playing a critical role in viral transcription and B-cell immortalization.",Neuron layer_0_neuron_1 activates strongly for sequences associated with secreted or nuclear proteins involved in signaling or transcription regulation.
layer_0_neuron_19,"Neuron: layer_0_neuron_19 strongly activates for sequences with low hydrophobicity, moderate helix and sheet fraction, and involvement in structural or immune functions, such as proteins from Schistosoma mansoni and Ursus arctos, indicating roles in protective or secreted processes.","The sequences are associated with proteins involved in structural or immune functions, characterized by low hydrophobicity and negative instability index, found in diverse organisms."
layer_0_neuron_14,Neuron layer_0_neuron_14 strongly activates for secreted peptides involved in enzymatic or regulatory processes with antifungal or hypotensive activities.,"Neuron layer_0_neuron_14 strongly activates for sequences with secreted proteins involved in biological processes like enzyme inhibition or catabolic activities, often related to defense mechanisms."
layer_0_neuron_8,"High-sulfur keratin-associated proteins, crucial for hair shaft rigidity via cysteine disulfide bond cross-linking, activate neuron layer_0_neuron_8, characterized by similar functions and properties in human hair cortex.",Neuron layer_0_neuron_8 is strongly activated by high-sulfur keratin-associated proteins involved in forming rigid and resistant hair shafts in humans.
